ID,SEX,RACE,BAD,LOAN,MORTDUE,VALUE,REASON,JOB,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC
00034,M,White,1,2900,78600,113000,DebtCon,ProfExe,6,1,0,165.33333333,2,26,
00035,F,Multiracial,0,2900,103949,112505,HomeImp,Office,1,0,0,96.10232967,0,13,30.051136286
00036,M,White,0,2900,104373,120702,HomeImp,Office,2,0,0,101.54029753,0,13,29.915859028
00037,F,Multiracial,1,2900,7750,67996,HomeImp,Other,16,3,0,122.20466276,2,8,36.211347998
00038,M,White,1,2900,61962,70915,DebtCon,Mgr,2,0,0,282.80165924,3,37,49.20639579
00039,M,Multiracial,0,3000,104570,121729,HomeImp,Office,2,0,0,85.884371895,0,14,32.059783267
00040,M,White,1,3000,7000,20300,HomeImp,Other,3,0,0,50.8,5,9,
00041,F,Other,1,3000,,8800,HomeImp,Other,2,0,1,77.766666667,0,3,
00042,F,White,1,3000,,33000,HomeImp,Other,1,0,1,23.3,1,2,
00043,M,White,1,3000,119826,193500,HomeImp,Other,8,0,0,130.03335846,0,27,
00044,M,White,1,3000,20000,29750,DebtCon,Other,2,0,0,187.06666667,0,12,
00045,F,White,1,3000,,14500,HomeImp,Other,3,0,0,9.3,14,2,
00046,F,Multiracial,1,3000,,14100,HomeImp,Other,1,0,0,104.2,0,19,
00047,M,White,1,3000,47000,82700,HomeImp,ProfExe,10,0,1,262.16666667,5,26,
00048,F,White,1,3000,34542,45900,HomeImp,Mgr,8.5,0,2,62.366666667,0,10,
00049,F,Black,0,3000,58000,71500,HomeImp,Mgr,10,,2,211.93333333,0,25,
00050,M,White,0,3000,47000,56400,HomeImp,Office,21,0,0,201.86666667,0,20,
00051,M,White,1,3100,39589,36100,HomeImp,Other,1.5,0,0,153.16666667,1,14,
00052,M,Multiracial,0,3100,,70400,Null,Null,,,,,,,
00053,F,White,0,3200,67848,74566,HomeImp,Mgr,10,,1,206.42660206,0,25,40.115677278
00054,F,Multiracial,1,3200,48603,61000,HomeImp,ProfExe,28,0,4,122.03333333,1,25,
00055,F,Black,1,3200,27200,40834,HomeImp,Other,,0,0,298.13156403,0,7,35.553538789
00056,F,Multiracial,1,3200,54000,64850,HomeImp,Other,1,0,0,121.86666667,3,21,
00057,M,White,0,3200,74864,87266,HomeImp,ProfExe,7,0,0,250.63126922,0,12,42.909997351
00058,F,White,1,3200,23159,,HomeImp,Mgr,20,,2,117.80574784,0,9,0.5244992154
00059,M,Other,1,3300,126541,134527,HomeImp,Sales,9,1,0,139,0,36,
00060,M,White,1,3300,130518,164317,DebtCon,Other,9,0,6,192.28914897,0,33,35.73055919
00061,M,White,1,3400,37000,52000,HomeImp,Office,2,0,1,183.29991561,0,6,
00062,M,White,1,3500,23200,38666,HomeImp,Other,11,0,0,162.36666667,0,14,
00063,F,Asian,1,3500,19400,20494,HomeImp,Other,5,0,0,95.933333333,0,9,
00064,F,White,1,3600,61584,61800,HomeImp,ProfExe,10,,,,,,
00065,M,White,1,3600,41900,52490,HomeImp,Mgr,3,0,0,72.033333333,2,4,
00066,M,White,0,3600,83700,111800,HomeImp,ProfExe,6,0,0,192.73333333,1,28,
00067,F,Multiracial,0,3600,61327,76484,HomeImp,Mgr,9,,2,202.51077515,0,25,41.516389699
00068,M,White,0,3600,100693,114743,HomeImp,Office,6,0,0,88.470452135,0,14,29.393543382
00069,F,White,1,3600,48507,61000,DebtCon,Office,13,1,4,97.4,0,17,
00070,M,White,0,3600,52337,63989,HomeImp,Office,20,0,0,204.27249884,0,20,20.470915508
00071,M,White,1,3700,17857,21144,HomeImp,Other,5,0,0,129.71732313,1,9,26.634347518
00072,F,White,1,3800,19135,97692,HomeImp,Mgr,1.6,1,6,252.63333333,1,25,
00073,M,White,0,3800,51180,63459,HomeImp,Office,20,0,0,203.75153358,0,20,20.067042051
00074,F,Black,0,3800,,73189,Null,Null,,,,,,,22.253949156
00075,M,White,0,3800,11543,46045,HomeImp,Self,,0,0,204.64799167,0,11,42.173165882
00076,F,White,1,3900,29896,45960,HomeImp,Other,11,0,0,146.12324219,0,14,24.478881191
00077,M,White,1,3900,14500,22092,HomeImp,Other,3.5,0,1,150.3,5,8,
00078,F,White,0,3900,52825,63000,DebtCon,ProfExe,8,0,4,171.66666667,1,31,
00079,M,White,0,3900,102143,118742,HomeImp,Office,2,0,0,85.277365579,0,13,29.343921089
00080,M,White,1,3900,21200,39000,DebtCon,Mgr,4,0,1,86.566666667,2,14,
00081,M,White,0,4000,105164,112774,HomeImp,Office,1,0,0,94.724874167,0,13,29.390928055
00082,M,Asian,0,4000,54543,61777,HomeImp,Office,21,0,0,205.58668003,0,19,21.806563464
00083,M,White,1,4000,,80609,HomeImp,Other,1.5,0,2,126.53333333,3,12,
00084,F,White,1,4000,26572,31960,HomeImp,Office,11,0,0,117.79510387,0,8,41.286491948
00085,F,White,1,4000,17000,52012,HomeImp,ProfExe,22,3,1,85.333333333,1,9,
00086,M,White,1,4000,29562,37200,DebtCon,Other,6,0,0,92.133333333,1,26,
00087,F,Black,1,4000,41700,76725,HomeImp,Other,0.5,0,3,136.13333333,0,15,
00088,F,White,1,4000,58000,69440,HomeImp,Other,3.5,0,1,168.66666667,0,18,
00089,F,White,1,4000,5700,18000,DebtCon,Other,,0,0,12.2,0,17,
00090,F,Multiracial,1,4000,45000,58350,HomeImp,Mgr,3.5,0,0,162,3,16,
00091,M,White,1,4000,7000,16020,HomeImp,Other,18,0,1,85.8,2,23,
00092,F,White,0,4000,66000,79050,HomeImp,Other,1.8,2,0,279,1,6,
00093,M,White,0,4000,,45760,HomeImp,Null,0,0,0,,0,0,
00094,F,Other,0,4000,62000,78000,HomeImp,Other,4,0,0,109.56666667,0,15,
00095,F,White,0,4000,64240,63990,HomeImp,Sales,5,2,0,160.3,1,23,
00096,M,Multiracial,1,4000,74000,93000,HomeImp,ProfExe,2.6,1,3,186.63333333,,9,
00097,M,Black,1,4000,55000,59000,DebtCon,Other,12,2,0,146.1,0,22,
00098,M,White,0,4000,67625,80698,HomeImp,Mgr,11,,1,212.34930388,0,25,39.128717628
00099,M,Multiracial,0,4000,67533,71865,HomeImp,Mgr,10,,2,227.79298841,0,25,39.166328703
00100,M,White,1,4100,,19132,HomeImp,Other,0,0,0,100.77465221,0,19,33.840919904
00101,F,Black,1,4100,58500,65000,HomeImp,Other,8,1,2,63.933333333,2,15,
00102,M,White,0,4100,57992,63797,DebtCon,ProfExe,7,0,4,165.50503695,1,31,22.27817437
00103,F,White,0,4200,56544,59218,HomeImp,Office,19,0,0,211.00259912,1,20,19.027704425
00104,F,White,1,4200,34800,50225,HomeImp,Other,2,1,0,93.5,1,5,
00105,F,White,0,4200,67700,77000,DebtCon,Sales,4,0,0,128.83333333,0,31,
00106,F,White,0,4200,44000,55085,DebtCon,Null,6,,1,75.433333333,,16,
00107,F,Multiracial,0,4200,66272,82953,HomeImp,Other,3,0,0,110.27866259,0,15,43.450587911
00108,M,White,0,4200,50216,58541,HomeImp,Office,19,0,0,209.87130224,0,19,20.20803267
00109,M,White,0,4300,71206,78698,DebtCon,Sales,3,0,0,129.93286902,0,31,34.181376516
00110,M,Asian,0,4300,68815,79852,HomeImp,Other,6,0,0,105.12070881,0,14,41.806376152
00111,F,White,0,4300,72021,80027,HomeImp,Other,2,2,0,263.97030029,0,5,36.432093937
00112,F,White,0,4400,53969,63869,DebtCon,ProfExe,7,0,3,162.39001067,0,30,23.581079239
00113,M,Other,0,4400,,60250,Null,Null,,,,,,,
00114,M,White,1,4400,53091,64074,DebtCon,Office,14,1,3,89.86105825,0,17,39.158084834
00115,F,Other,0,4500,66127,79087,HomeImp,Other,4,1,0,81.349065098,0,15,40.70530876
00116,M,White,0,4500,,77182,Null,Null,,,,,,,25.227252904
00117,F,Multiracial,1,4500,39000,66000,HomeImp,Other,1,0,0,170.36666667,1,19,
00118,F,Other,0,4500,71082,79247,HomeImp,Other,4,0,0,118.76041007,0,14,41.421110521
00119,F,White,0,4500,,49044,HomeImp,Null,0,0,0,,0,0,11.652738796
00120,F,White,1,4500,57000,,HomeImp,Other,5,,,222.6,1,13,
00121,M,White,1,4500,34184,46000,HomeImp,Mgr,3.5,0,1,122.6,2,22,
00122,M,White,1,4500,66517,87000,DebtCon,ProfExe,10,0,4,125.8,0,34,
00123,M,Other,0,4500,45500,50000,HomeImp,Other,6,0,0,86.166666667,0,18,
00124,M,White,1,4500,118000,146870,HomeImp,ProfExe,4.5,2,0,203.86666667,1,20,
00125,M,Multiracial,1,4500,90000,105800,HomeImp,Other,6,2,3,80.1,3,10,
00126,F,White,0,4700,67913,97205,Null,Mgr,2,0,0,142.82439151,0,24,35.226997192
00127,M,Multiracial,0,4700,71855,88566,HomeImp,Other,2,2,0,283.95953809,0,5,36.475473283
00128,M,White,0,4700,53918,59511,DebtCon,Null,6,,0,54.13647743,,15,34.416507811
00129,F,Multiracial,1,4700,49100,58238,HomeImp,ProfExe,0.1,0,0,61.8,2,17,
00130,F,Multiracial,0,4700,88026,115506,HomeImp,ProfExe,6,0,0,182.24833156,0,27,29.20902258
00131,M,Multiracial,1,4700,26900,45000,HomeImp,ProfExe,9,1,2,90.466666667,1,16,
00132,F,White,0,4800,67317,97191,Null,Mgr,3,0,0,137.31972481,0,23,34.275293777
00133,M,Other,0,4800,56067,63102,DebtCon,ProfExe,9,0,3,160.14631128,1,30,21.583760121
00134,F,Black,0,4800,80482,88342,HomeImp,ProfExe,7,0,0,275.03239483,0,11,43.717635112
00135,M,White,0,4900,58688,63348,DebtCon,ProfExe,9,0,3,179.16257471,2,31,22.544392837
00136,F,Multiracial,0,4900,65873,90408,Null,Mgr,2,0,0,141.85899895,0,23,37.76961861
00137,F,Black,1,4900,25597,23031,HomeImp,Other,5,0,0,101.74676644,0,8,33.243156978
00138,F,White,0,4900,67794,84630,HomeImp,Other,4,0,0,112.57341888,0,15,41.673996362
00139,F,Black,1,4900,44000,59745,HomeImp,Other,10,0,0,81.5,3,13,
00140,F,White,0,4900,,28437.5,HomeImp,Null,,,,,,,
00141,F,White,0,4900,170986,245300,DebtCon,Sales,,0,0,131.93333333,0,22,
00142,M,Asian,1,4900,65576,65774,HomeImp,Other,6,1,2,61.64250608,1,14,40.590910018
00143,F,Black,0,4900,57461,68494,DebtCon,ProfExe,8,0,4,183.63561323,0,30,22.795423552
00144,F,White,0,4900,,69706,Null,Null,,,,,,,33.705587738
00145,F,White,0,5000,,34846,HomeImp,Null,,,,,,,33.354652626
00146,M,White,0,5000,47479,61690,DebtCon,Null,5,,0,65.032969007,,16,36.699414922
00147,F,White,0,5000,66839,87168,HomeImp,Other,4,0,0,122.59722258,0,15,40.616779346
00148,F,Multiracial,0,5000,12457,53448,HomeImp,Self,,0,0,207.14348133,0,12,44.107951691
00149,F,White,0,5000,90059,113714,HomeImp,ProfExe,7,0,0,193.63644686,0,28,25.897316482
00150,F,White,1,5000,22320,34900,HomeImp,Other,10,0,0,65.7,1,5,
00151,M,White,1,5000,40000,70500,HomeImp,Mgr,0.4,0,0,61.766666667,2,8,
00152,F,Asian,1,5000,100882,102700,HomeImp,Mgr,5,0,1,58.866666667,0,16,
00153,F,White,1,5000,31000,47350,HomeImp,ProfExe,12,,,,,,
00154,F,White,1,5000,63125,126500,HomeImp,Office,3,0,0,100.3,0,14,
00155,M,White,1,5000,100000,129693.5,HomeImp,Mgr,13,,,,,,
00156,M,Black,1,5000,,132000,HomeImp,Other,17.5,0,2,121.9,0,14,
00157,M,White,1,5000,,9100,HomeImp,Other,1,0,0,54.733333333,2,8,
00158,M,White,1,5000,34200,50830,HomeImp,Other,6,0,0,57,1,9,
00159,M,White,1,5000,,71277,HomeImp,Other,10,0,0,72.433333333,1,12,
00160,F,White,1,5000,123000,157500,HomeImp,Mgr,9,,,,,,
00161,F,White,1,5000,16600,25250,HomeImp,Other,6,0,0,88.7,1,3,
00162,M,White,1,5000,,52000,HomeImp,Other,,0,1,285.33333333,0,6,
00163,M,White,1,5000,22700,34225,HomeImp,Other,4,0,0,74.633333333,3,9,
00164,F,White,1,5000,6000,38575,HomeImp,Self,7,0,1,335.03333333,3,42,
00165,F,White,1,5000,,74500,HomeImp,Other,19,,,,,,
00166,M,White,1,5000,,94119,HomeImp,Other,19,,,,,,
00167,M,White,0,5000,73126,87500,DebtCon,Other,1,0,0,125.96666667,2,10,
00168,F,Black,0,5000,72517,86250,DebtCon,Mgr,19,0,1,300.36666667,1,24,
00169,F,White,0,5000,26037,35000,HomeImp,ProfExe,12,0,0,182.63333333,0,13,
00170,F,Black,0,5000,39000,50340,HomeImp,Office,10,,,179.83333333,,19,
00171,M,White,0,5000,,26550,DebtCon,Other,1.7,0,0,276.96666667,1,14,
00172,M,Other,0,5000,70470,77908,DebtCon,Null,5,,,,,,
00173,F,White,0,5000,,36375,HomeImp,Other,3,0,0,266.8,1,26,
00174,M,Multiracial,0,5000,74225,89640,DebtCon,ProfExe,0.3,,,,,,
00175,M,White,0,5000,,65400,HomeImp,Office,1.5,0,0,51.766666667,0,4,
00176,M,White,1,5000,,37500,HomeImp,Other,,0,3,107.13333333,10,5,
00177,F,White,0,5000,78565,98500,DebtCon,ProfExe,24,0,0,51.766666667,3,14,
00178,F,Black,0,5000,59900,80800,DebtCon,ProfExe,15,0,0,219.13333333,1,18,
00179,M,White,1,5000,10171,26809,HomeImp,Office,13,3,6,228.3,0,24,
00180,F,Multiracial,1,5000,78893,82600,HomeImp,Mgr,16,0,0,133.9,1,34,
00181,M,White,1,5000,85165,107940,HomeImp,Mgr,6,5,3,122.76666667,5,28,
00182,F,Multiracial,1,5000,68000,75616,DebtCon,ProfExe,0.1,0,0,131.86666667,0,30,
00183,M,Other,1,5000,71571,85100,DebtCon,ProfExe,1.4,0,1,82.133333333,0,13,
00184,M,Asian,1,5000,28000,36810,DebtCon,Other,2,1,0,222.2,1,6,
00185,F,White,1,5000,40000,32480,HomeImp,Other,8,3,2,163.36666667,1,16,
00186,M,Other,1,5000,81748,,DebtCon,ProfExe,14,1,2,144.06666667,2,17,
00187,F,Asian,0,5000,44674,59375,HomeImp,Office,10,,,178.6925087,,19,26.448197463
00188,F,White,1,5000,61999,75021.3,HomeImp,Other,5,0,0,97.1,0,23,
00189,M,Multiracial,0,5000,80153,97275,DebtCon,Other,1,0,0,120.67506316,2,10,37.512708409
00190,M,White,0,5000,68739,93435,Null,Mgr,3,0,0,148.72040469,0,23,36.669278612
00191,M,White,0,5000,51209,55320,DebtCon,Null,5,,1,69.107465597,,15,35.025072968
00192,M,White,1,5000,46696,85202,HomeImp,Other,2,1,2,148.34064549,0,14,46.489874001
00193,F,White,0,5000,,46281,HomeImp,Other,2,0,0,257.6522064,0,26,40.952588884
00194,F,White,0,5000,66435,82819,HomeImp,Other,2,0,0,125.13062556,0,14,42.183538672
00195,M,Black,0,5100,179725,251962,DebtCon,Sales,,0,0,127.49881344,0,22,40.308259362
00196,M,White,0,5100,85583,115341,HomeImp,ProfExe,7,0,0,177.95825512,1,28,26.257970132
00197,F,Multiracial,0,5100,72891,80691,HomeImp,Other,1,1,0,273.88170516,0,6,39.852146515
00198,F,Asian,1,5100,30755,46735,HomeImp,Other,10,0,0,69,0,17,
00199,M,White,0,5100,,26715,DebtCon,Other,1,0,0,258.78929762,0,14,26.722343337
00200,M,White,0,5100,87258,121382,HomeImp,ProfExe,6,0,0,181.66304016,0,28,25.444759149
00201,M,Other,0,5100,,28291,DebtCon,Other,2,0,0,277.94456081,1,14,23.644691283
00202,F,White,1,5100,9900,30451,HomeImp,Other,11,0,0,21.2,0,2,
00203,F,Multiracial,0,5100,93000,116875,HomeImp,Other,10,,,417.63333333,2,50,
00204,F,Multiracial,1,5100,15500,34000,DebtCon,Other,0,1,2,86.233333333,2,13,
00205,M,White,1,5100,129319,141875,HomeImp,Sales,7,1,0,157.85980209,0,36,25.650741224
00206,F,Black,0,5100,66834,87361,HomeImp,Other,0,2,0,290.03410799,0,6,38.766985071
00207,F,Asian,0,5100,73882,96031,DebtCon,Other,0,0,0,125.78740011,1,10,34.446079222
00208,M,White,0,5100,74071,97064,DebtCon,Other,0,0,0,121.0759726,2,9,36.401729548
00209,F,Multiracial,0,5100,62702,79784,HomeImp,Other,2,0,0,108.07259081,0,15,43.290139816
00210,M,White,0,5200,,36425,DebtCon,Other,2,0,0,266.81346457,1,14,23.797401058
00211,M,White,0,5200,67000,77000,HomeImp,Other,9,0,1,119.7,0,25,
00212,F,White,0,5200,43039,53521,HomeImp,Office,11,,,184.29668729,,19,24.414763177
00213,F,White,0,5200,19000,26000,DebtCon,Other,0,1,0,17.2,10,7,
00214,M,White,1,5200,,9500,DebtCon,Other,1,0,1,81.1,1,2,
00215,M,Black,0,5200,91250,110000,HomeImp,Office,24,0,0,123.76666667,1,12,
00216,F,Black,0,5200,16324,45187,HomeImp,Self,,0,0,221.11808171,0,11,42.712093844
00217,F,White,1,5200,40564,39527,HomeImp,Other,0,0,0,157.77103572,1,13,72.670433313
00218,F,Other,0,5300,73698,84427,DebtCon,Null,4,,,,,,19.131201179
00219,F,White,0,5300,66987,65111,HomeImp,Sales,4,1,0,175.32870382,1,22,40.442570389
00220,M,White,1,5300,26908,36078,HomeImp,Other,,0,0,302.35870946,0,8,39.196985402
00221,F,White,0,5300,,49396,HomeImp,Null,0,0,0,,0,0,12.043670576
00222,F,White,0,5300,44993,50673,HomeImp,Office,7,,,184.74276716,,18,27.906122726
00223,F,White,1,5300,51000,64000,HomeImp,Mgr,10,1,0,98.333333333,0,12,
00224,F,White,0,5300,75958,91703,DebtCon,Other,0,0,0,124.1821788,1,10,34.599060194
00225,F,White,0,5300,97132,117343,HomeImp,Office,22,0,0,109.93390789,1,11,35.8385427
00226,F,White,0,5300,60826,80826,HomeImp,Mgr,10,,1,212.89174607,0,25,38.591494028
00227,M,Black,0,5300,83552,96809,DebtCon,ProfExe,0,,,,,,28.423961906
00228,F,Other,0,5300,47449,63895,HomeImp,Office,19,0,0,208.16271401,0,20,19.762113701
00229,M,Multiracial,0,5300,50934,62957,HomeImp,Office,21,0,0,197.24195728,0,20,19.350505633
00230,F,White,0,5400,53429,64505,DebtCon,Null,5,,0,69.542430107,,16,36.480236299
00231,M,Black,0,5400,,65474,HomeImp,Office,1,0,0,40.709849004,0,4,37.848771035
00232,M,White,0,5400,47844,52040,HomeImp,Office,8,,,189.03430464,,18,24.701136262
00233,M,White,1,5400,45509,57453,DebtCon,Sales,4,0,0,95.6,0,22,
00234,M,Other,1,5400,59720,63450,HomeImp,ProfExe,5,0,1,199.9,1,20,
00235,F,White,0,5400,86922,119846,HomeImp,ProfExe,5,0,0,185.07634726,1,28,26.354889295
00236,F,Black,0,5400,68625,82304,DebtCon,Sales,2,0,0,136.63294416,0,30,32.05002349
00237,M,White,0,5400,65814,85848,HomeImp,Other,4,0,0,122.9402886,0,15,44.092325682
00238,M,White,0,5400,,75254,Null,Null,,,,,,,23.163742947
00239,M,Other,1,5400,78300,88000,HomeImp,ProfExe,8,0,0,102.5,3,19,
00240,F,White,0,5400,48152,55760,DebtCon,Null,6,,0,78.452125766,,16,35.763637997
00241,F,White,0,5500,70481,82446,HomeImp,Other,8,0,1,116.59197688,0,24,37.612682724
00242,F,Multiracial,0,5500,,35402,HomeImp,Null,,,,,,,35.272073735
00243,F,Other,0,5500,87765,101053,DebtCon,ProfExe,22,0,0,55.558049044,2,13,31.375542416
00244,F,White,0,5500,52897,65054,HomeImp,Office,20,0,0,189.29531847,0,19,20.654128896
00245,M,Black,1,5500,24700,35675,DebtCon,Other,1,0,3,153.93333333,3,27,
00246,M,Asian,1,5500,,43132,HomeImp,Other,,,,,,,
00247,M,White,0,5500,43486,81600,DebtCon,Null,4,0,0,216.13333333,4,30,
00248,M,White,1,5500,21359,30000,DebtCon,Other,7,3,2,130.8,3,14,
00249,M,White,1,5500,,13770,HomeImp,Mgr,5,0,1,167.36666667,1,8,
00250,M,White,0,5500,93051,115374,HomeImp,ProfExe,6,0,0,187.02051879,1,27,27.646748505
00251,F,Multiracial,0,5500,87438,116679,HomeImp,ProfExe,6,0,0,186.42441602,1,27,28.417530896
00252,F,White,0,5500,78059,78179,DebtCon,Null,5,,,,,,20.679313582
00253,M,White,0,5500,72147,69918,HomeImp,Sales,4,2,0,158.5344979,0,23,43.404430238
00254,M,White,1,5500,40584,46645,HomeImp,Other,4,0,1,136.32063746,0,13,34.494708965
00255,F,White,1,5500,,12972,HomeImp,Other,1,0,1,82.294266354,0,2,36.986744097
00256,M,White,1,5500,37368,48502,HomeImp,Mgr,9,0,2,48.995845002,0,10,33.126483967
00257,M,White,0,5500,,66251,HomeImp,Office,1,0,0,43.722336946,0,3,41.452043532
00258,M,White,0,5500,71644,72696,HomeImp,Sales,4,2,0,150.86584513,0,22,40.442567785
00259,M,White,1,5500,85845,122205,DebtCon,ProfExe,5,0,0,172.21327665,1,26,32.676640875
00260,M,White,0,5600,53793,66379,HomeImp,Office,22,0,0,206.09913412,0,19,18.369540527
00261,M,White,0,5600,69435,83489,DebtCon,ProfExe,14,0,0,200.41843402,1,17,22.841092848
00262,M,White,0,5600,29648,39907,HomeImp,ProfExe,11,0,0,180.56306914,0,13,21.554949656
00263,M,Multiracial,0,5600,76407,77485,HomeImp,Other,9,0,0,91.683770634,0,24,37.773350976
00264,M,White,1,5600,5000,66700,HomeImp,Other,31,1,1,204.06666667,0,11,
00265,M,Multiracial,1,5600,55160,86800,HomeImp,Other,3,1,1,148.13333333,1,14,
00266,M,Other,0,5600,41439,53893,HomeImp,Office,8,,,181.32298993,,19,24.651395744
00267,M,White,0,5600,15275,47954,HomeImp,Self,,0,0,204.33524504,0,12,42.397769638
00268,M,Asian,0,5700,100934,111496,HomeImp,Office,23,0,0,117.49959288,0,12,38.750562668
00269,F,White,0,5700,,74685,Null,Null,,,,,,,24.274865275
00270,M,White,0,5700,49514,58249,HomeImp,Office,21,0,0,212.53911509,0,21,21.258026878
00271,M,White,0,5700,76948,85753,HomeImp,Other,7,0,0,128.47645151,0,25,37.85968784
00272,F,White,0,5700,28127,36524,HomeImp,ProfExe,10,0,0,181.28295679,0,13,24.339533569
00273,F,White,0,5700,,68591,HomeImp,Office,0,0,0,69.645660473,0,4,41.185039558
00274,M,Black,0,5700,26927,35461,DebtCon,Other,0,1,0,21.799352154,10,6,29.439664242
00275,F,Multiracial,0,5700,49806,82242,DebtCon,Null,3,0,0,210.34747857,3,30,31.243408701
00276,M,White,1,5700,70000,84579,DebtCon,Sales,0.1,0,0,95.9,1,17,
00277,M,Other,1,5700,58400,75000,HomeImp,ProfExe,4,0,0,177.5,2,26,
00278,F,White,1,5700,80437,109647,HomeImp,ProfExe,9.5,0,0,104.4,0,14,
00279,F,White,1,5700,77213,92661,DebtCon,Sales,0,0,0,97.133170952,1,16,41.777888631
00280,M,White,0,5700,62319,82923,HomeImp,Other,4,0,0,117.6739652,0,15,42.464866285
00281,M,Black,0,5700,71556,79538,HomeImp,Other,2,0,0,92.643084556,0,15,41.21001247
00282,F,Black,0,5700,,39052,HomeImp,Other,3,0,0,272.22062826,0,25,39.896104618
00283,F,Multiracial,1,5700,74172,79846,DebtCon,ProfExe,0,0,0,157.00977472,0,28,47.415228659
00284,M,White,0,5700,28116,33450,DebtCon,Other,0,1,0,15.396587392,9,7,30.017013296
00285,M,White,0,5700,,64910,Null,Null,,,,,,,33.850461221
00286,F,Other,0,5700,,69172,HomeImp,Office,1,0,0,48.853667057,0,3,38.773685963
00287,F,Black,0,5800,,36385,HomeImp,Other,2,0,0,266.55339438,1,25,43.309764541
00288,M,White,0,5800,,41119,HomeImp,Other,2,0,0,261.40521864,0,26,42.191941556
00289,M,Asian,0,5800,75000,90543,DebtCon,Mgr,18,0,0,300.4872058,1,23,38.940575356
00290,M,White,0,5800,79296,86885,DebtCon,Mgr,19,0,1,307.9748816,1,23,39.959108765
00291,M,White,1,5800,27791,46833,DebtCon,Mgr,3,0,0,83.289062746,1,13,30.187805389
00292,M,White,0,5800,172595,250155,DebtCon,Sales,,0,0,126.40098356,0,21,43.20775979
00293,M,White,0,5800,,34704,HomeImp,Null,,,,,,,34.174055545
00294,F,White,0,5800,,73804,HomeImp,Office,1,0,0,71.766557161,0,4,41.287423388
00295,F,White,0,5800,46595,58191,HomeImp,Other,5,0,0,80.131746414,0,17,24.140153667
00296,F,Multiracial,1,5900,,28000,DebtCon,Self,1,2,1,36.766666667,1,8,
00297,M,White,0,5900,70973,77989,HomeImp,Other,7,0,0,120.37941429,0,24,41.442500462
00298,M,Asian,1,5900,,33100,HomeImp,Other,,0,0,238.6,1,2,
00299,M,White,0,5900,,51189,HomeImp,Null,1,0,0,,0,0,12.749180645
